eps 220 : 49064.8529073 with explore rate: 0.032874871669 , time: 133
eps 221 : 48436.0136375 with explore rate: 0.0325461229523 , time: 133
eps 222 : 48766.6907284 with explore rate: 0.0322206617228 , time: 133
eps 223 : 48290.4382815 with explore rate: 0.0318984551056 , time: 133
eps 224 : 48310.6543124 with explore rate: 0.0315794705545 , time: 134
eps 225 : 48300.0963889 with explore rate: 0.031263675849 , time: 135
eps 226 : 48400.7995071 with explore rate: 0.0309510390905 , time: 135
eps 227 : 48554.5477321 with explore rate: 0.0306415286996 , time: 133
eps 228 : 48281.3026488 with explore rate: 0.0303351134126 , time: 133
eps 229 : 48409.3964742 with explore rate: 0.0300317622784 , time: 134
eps 230 : 48510.6447443 with explore rate: 0.0297314446557 , time: 134
eps 231 : 48463.3187675 with explore rate: 0.0294341302091 , time: 133
eps 232 : 48472.6559189 with explore rate: 0.029139788907 , time: 134
eps 233 : 48118.1507933 with explore rate: 0.0288483910179 , time: 133
eps 234 : 47748.9354992 with explore rate: 0.0285599071078 , time: 134
eps 235 : 48462.1780274 with explore rate: 0.0282743080367 , time: 134
eps 236 : 48341.8171563 with explore rate: 0.0279915649563 , time: 134
eps 237 : 48153.1654102 with explore rate: 0.0277116493068 , time: 133
eps 238 : 47829.592236 with explore rate: 0.0274345328137 , time: 134
eps 239 : 47978.8882005 with explore rate: 0.0271601874856 , time: 134
eps 240 : 47955.4078154 with explore rate: 0.0268885856107 , time: 134
eps 241 : 48573.5004211 with explore rate: 0.0266196997546 , time: 134
eps 242 : 48408.9519064 with explore rate: 0.026353502757 , time: 134
eps 243 : 48096.9507255 with explore rate: 0.0260899677295 , time: 134
eps 244 : 47996.7161728 with explore rate: 0.0258290680522 , time: 134
eps 245 : 47559.0778091 with explore rate: 0.0255707773717 , time: 134
eps 246 : 48379.1187438 with explore rate: 0.0253150695979 , time: 134
eps 247 : 47810.65237 with explore rate: 0.025061918902 , time: 134
eps 248 : 47900.4297307 with explore rate: 0.0248112997129 , time: 134
eps 249 : 47624.6080859 with explore rate: 0.0245631867158 , time: 134
eps 250 : 47488.7465692 with explore rate: 0.0243175548487 , time: 134
eps 251 : 47792.6738152 with explore rate: 0.0240743793002 , time: 134
eps 252 : 47728.344193 with explore rate: 0.0238336355072 , time: 135
eps 253 : 48027.6252734 with explore rate: 0.0235952991521 , time: 135
eps 254 : 48571.8817578 with explore rate: 0.0233593461606 , time: 135
eps 255 : 47927.9570645 with explore rate: 0.023125752699 , time: 135
eps 256 : 48189.1588522 with explore rate: 0.022894495172 , time: 135
eps 257 : 47789.3643631 with explore rate: 0.0226655502203 , time: 134
eps 258 : 48164.0736205 with explore rate: 0.0224388947181 , time: 135
eps 259 : 47747.8439874 with explore rate: 0.0222145057709 , time: 135
eps 260 : 48250.5684285 with explore rate: 0.0219923607132 , time: 135
eps 261 : 47925.8872377 with explore rate: 0.021772437106 , time: 135
eps 262 : 47960.0118368 with explore rate: 0.021554712735 , time: 134
eps 263 : 48110.812603 with explore rate: 0.0213391656076 , time: 134
eps 264 : 48301.1036795 with explore rate: 0.0211257739515 , time: 135
eps 265 : 47851.0924623 with explore rate: 0.020914516212 , time: 135
eps 266 : 48447.2025865 with explore rate: 0.0207053710499 , time: 135
eps 267 : 47661.1388048 with explore rate: 0.0204983173394 , time: 135
eps 268 : 48334.599192 with explore rate: 0.020293334166 , time: 135
eps 269 : 47461.0590611 with explore rate: 0.0200904008244 , time: 134
eps 270 : 47962.4890402 with explore rate: 0.0198894968161 , time: 135
eps 271 : 48315.7931662 with explore rate: 0.019690601848 , time: 135
eps 272 : 47884.3551126 with explore rate: 0.0194936958295 , time: 135
eps 273 : 47542.8209954 with explore rate: 0.0192987588712 , time: 135
eps 274 : 47532.0973242 with explore rate: 0.0191057712825 , time: 135
eps 275 : 48556.8534636 with explore rate: 0.0189147135696 , time: 135
eps 276 : 47524.5623974 with explore rate: 0.0187255664339 , time: 135
eps 277 : 48075.7361654 with explore rate: 0.0185383107696 , time: 135
eps 278 : 47373.6024517 with explore rate: 0.0183529276619 , time: 135
eps 279 : 48538.5428361 with explore rate: 0.0181693983853 , time: 135
eps 280 : 48456.1157181 with explore rate: 0.0179877044014 , time: 135
eps 281 : 47772.6028921 with explore rate: 0.0178078273574 , time: 135
eps 282 : 48271.6618266 with explore rate: 0.0176297490839 , time: 135
eps 283 : 47794.4381658 with explore rate: 0.017453451593 , time: 135
eps 284 : 47278.6743141 with explore rate: 0.0172789170771 , time: 136
eps 285 : 48750.2789184 with explore rate: 0.0171061279063 , time: 135
eps 286 : 47921.5088341 with explore rate: 0.0169350666272 , time: 135
eps 287 : 48486.9613149 with explore rate: 0.016765715961 , time: 135
eps 288 : 48265.5489436 with explore rate: 0.0165980588014 , time: 135
eps 289 : 47247.9329796 with explore rate: 0.0164320782134 , time: 135
eps 290 : 48142.5027734 with explore rate: 0.0162677574312 , time: 135
eps 291 : 47892.8610388 with explore rate: 0.0161050798569 , time: 136
eps 292 : 47973.8128547 with explore rate: 0.0159440290583 , time: 136
eps 293 : 47594.4037081 with explore rate: 0.0157845887678 , time: 136
eps 294 : 47638.6097073 with explore rate: 0.0156267428801 , time: 136
eps 295 : 47318.6129201 with explore rate: 0.0154704754513 , time: 136
eps 296 : 48130.1477291 with explore rate: 0.0153157706968 , time: 136
eps 297 : 47959.7617297 with explore rate: 0.0151626129898 , time: 136
eps 298 : 48369.5069367 with explore rate: 0.0150109868599 , time: 136
eps 299 : 47783.100065 with explore rate: 0.0148608769913 , time: 136
eps 300 : 47792.6690847 with explore rate: 0.0147122682214 , time: 136
eps 301 : 47451.5988133 with explore rate: 0.0145651455392 , time: 136
eps 302 : 47961.4558094 with explore rate: 0.0144194940838 , time: 136
eps 303 : 48464.1544829 with explore rate: 0.0142752991429 , time: 136
eps 304 : 47813.5622437 with explore rate: 0.0141325461515 , time: 136
eps 305 : 47962.0088722 with explore rate: 0.01399122069 , time: 136
eps 306 : 47934.0954485 with explore rate: 0.0138513084831 , time: 136
