eps 104 : 44941.9849508 with explore rate: 0.0623001692455 loss: 4806473.5 , time: 128
eps 105 : 44979.4738986 with explore rate: 0.0613656667068 loss: 3874181.0 , time: 128
eps 106 : 46250.9138641 with explore rate: 0.0604451817062 loss: 2297225.5 , time: 128
eps 107 : 46548.0484799 with explore rate: 0.0595385039806 loss: 1610675.6 , time: 128
eps 108 : 46524.7885207 with explore rate: 0.0586454264209 loss: 4100499.2 , time: 128
eps 109 : 46977.4262595 with explore rate: 0.0577657450246 loss: 4659875.0 , time: 128
eps 110 : 46416.5516118 with explore rate: 0.0568992588492 loss: 336826.22 , time: 128
eps 111 : 46565.1028239 with explore rate: 0.0560457699665 loss: 1424053.5 , time: 128
eps 112 : 47128.4671278 with explore rate: 0.055205083417 loss: 3946176.0 , time: 128
eps 113 : 46386.6497496 with explore rate: 0.0543770071658 loss: 2520719.8 , time: 128
eps 114 : 46016.6312371 with explore rate: 0.0535613520583 loss: 1723565.5 , time: 128
eps 115 : 45815.7358854 with explore rate: 0.0527579317774 loss: 2994039.5 , time: 128
eps 116 : 45775.2037264 with explore rate: 0.0519665628007 loss: 1667416.4 , time: 128
eps 117 : 45605.4769665 with explore rate: 0.0511870643587 loss: 2280700.0 , time: 129
eps 118 : 45333.718106 with explore rate: 0.0504192583933 loss: 1684449.9 , time: 128
eps 119 : 45179.4232149 with explore rate: 0.0496629695174 loss: 2977257.5 , time: 129
eps 120 : 46256.0657458 with explore rate: 0.0489180249747 loss: 3043337.5 , time: 128
eps 121 : 45315.4287488 with explore rate: 0.0481842546001 loss: 2778737.8 , time: 128
eps 122 : 46699.8685699 with explore rate: 0.0474614907811 loss: 4361583.5 , time: 128
eps 123 : 47690.6848324 with explore rate: 0.0467495684193 loss: 1278380.8 , time: 128
eps 124 : 47831.4530621 with explore rate: 0.0460483248931 loss: 1005827.56 , time: 129
eps 125 : 47559.0682182 with explore rate: 0.0453576000197 loss: 3245309.8 , time: 128
eps 126 : 45048.3187881 with explore rate: 0.0446772360194 loss: 3757903.2 , time: 128
eps 127 : 45752.5059421 with explore rate: 0.0440070774791 loss: 8329067.5 , time: 129
eps 128 : 45484.8115653 with explore rate: 0.0433469713169 loss: 2620329.8 , time: 129
eps 129 : 46881.5979994 with explore rate: 0.0426967667471 loss: 1897191.5 , time: 129
eps 130 : 47434.2827426 with explore rate: 0.0420563152459 loss: 1477596.0 , time: 129
eps 131 : 46702.4683258 with explore rate: 0.0414254705172 loss: 547483.4 , time: 129
eps 132 : 47258.3065779 with explore rate: 0.0408040884595 loss: 540708.06 , time: 129
eps 133 : 46378.8911834 with explore rate: 0.0401920271326 loss: 391277.62 , time: 129
eps 134 : 46666.8109388 with explore rate: 0.0395891467256 loss: 951894.75 , time: 129
eps 135 : 45960.027258 with explore rate: 0.0389953095247 loss: 2613045.5 , time: 129
eps 136 : 45656.5454292 with explore rate: 0.0384103798818 loss: 880996.56 , time: 129
eps 137 : 45537.9030667 with explore rate: 0.0378342241836 loss: 4589670.0 , time: 129
eps 138 : 44878.2833589 with explore rate: 0.0372667108209 loss: 3714755.8 , time: 129
eps 139 : 45553.5653443 with explore rate: 0.0367077101585 loss: 3861809.5 , time: 129
eps 140 : 45976.1664227 with explore rate: 0.0361570945062 loss: 928380.75 , time: 129
eps 141 : 45724.7041324 with explore rate: 0.0356147380886 loss: 941064.2 , time: 129
eps 142 : 45998.0183622 with explore rate: 0.0350805170172 loss: 2360668.8 , time: 129
eps 143 : 46534.4225457 with explore rate: 0.034554309262 loss: 2120810.5 , time: 129
eps 144 : 48043.301484 with explore rate: 0.0340359946231 loss: 1030912.6 , time: 129
eps 145 : 47346.3814929 with explore rate: 0.0335254547037 loss: 1069951.9 , time: 129
eps 146 : 47663.354181 with explore rate: 0.0330225728832 loss: 1166329.1 , time: 129
eps 147 : 45618.6858669 with explore rate: 0.0325272342899 loss: 3031323.0 , time: 129
eps 148 : 47352.3390987 with explore rate: 0.0320393257756 loss: 1679096.9 , time: 129
eps 149 : 46989.1986797 with explore rate: 0.0315587358889 loss: 1074626.1 , time: 129
eps 150 : 47455.8922269 with explore rate: 0.0310853548506 loss: 977733.56 , time: 129
eps 151 : 45809.7079362 with explore rate: 0.0306190745278 loss: 2365585.8 , time: 129
eps 152 : 45740.6553939 with explore rate: 0.0301597884099 loss: 2592268.5 , time: 130
eps 153 : 45397.9274892 with explore rate: 0.0297073915838 loss: 10741469.0 , time: 129
eps 154 : 44231.9145966 with explore rate: 0.02926178071 loss: 12213085.0 , time: 130
eps 155 : 44087.013061 with explore rate: 0.0288228539994 loss: 7698011.5 , time: 130
eps 156 : 44102.4679408 with explore rate: 0.0283905111894 loss: 6173536.0 , time: 130
eps 157 : 44150.1436577 with explore rate: 0.0279646535215 loss: 3711387.0 , time: 130
eps 158 : 44204.5205648 with explore rate: 0.0275451837187 loss: 2736659.5 , time: 130
eps 159 : 44564.0117397 with explore rate: 0.0271320059629 loss: 2319464.2 , time: 130
eps 160 : 46045.5281094 with explore rate: 0.0267250258735 loss: 3657257.5 , time: 130
eps 161 : 47335.6420071 with explore rate: 0.0263241504854 loss: 4851351.5 , time: 130
eps 162 : 48604.5340717 with explore rate: 0.0259292882281 loss: 14011226.0 , time: 130
eps 163 : 48691.6952326 with explore rate: 0.0255403489047 loss: 7736888.5 , time: 130
eps 164 : 48641.1206213 with explore rate: 0.0251572436711 loss: 5020890.0 , time: 130
eps 165 : 46295.4407751 with explore rate: 0.024779885016 loss: 4144047.2 , time: 130
eps 166 : 47963.9398952 with explore rate: 0.0244081867408 loss: 3014961.5 , time: 130
eps 167 : 48453.7810898 with explore rate: 0.0240420639397 loss: 1415628.9 , time: 130
eps 168 : 47585.0370135 with explore rate: 0.0236814329806 loss: 1238793.5 , time: 130
eps 169 : 47767.775471 with explore rate: 0.0233262114859 loss: 732994.94 , time: 130
eps 170 : 47336.0033235 with explore rate: 0.0229763183136 loss: 941796.6 , time: 130
eps 171 : 47190.2535134 with explore rate: 0.0226316735389 loss: 720539.8 , time: 130
eps 172 : 47131.3564837 with explore rate: 0.0222921984358 loss: 467417.47 , time: 130
eps 173 : 47261.5948848 with explore rate: 0.0219578154593 loss: 10319321.0 , time: 131
eps 174 : 45781.7260618 with explore rate: 0.0216284482274 loss: 6583790.0 , time: 130
eps 175 : 46067.1723623 with explore rate: 0.021304021504 loss: 5041582.0 , time: 130
eps 176 : 46988.1216325 with explore rate: 0.0209844611814 loss: 5886160.5 , time: 130
eps 177 : 47849.9096878 with explore rate: 0.0206696942637 loss: 3605138.2 , time: 130
eps 178 : 48708.0360767 with explore rate: 0.0203596488497 loss: 1992125.1 , time: 130
eps 179 : 46486.3157072 with explore rate: 0.020054254117 loss: 1892646.5 , time: 130
eps 180 : 47116.3057585 with explore rate: 0.0197534403052 loss: 3583111.8 , time: 130
eps 181 : 47365.836536 with explore rate: 0.0194571387007 loss: 1848967.2 , time: 130
eps 182 : 46833.6000942 with explore rate: 0.0191652816201 loss: 1045807.75 , time: 130
eps 183 : 47299.0862619 with explore rate: 0.0188778023958 loss: 3373992.8 , time: 130
eps 184 : 47243.4821218 with explore rate: 0.0185946353599 loss: 3675803.8 , time: 130
eps 185 : 46670.8063288 with explore rate: 0.0183157158295 loss: 1236922.9 , time: 130
eps 186 : 47675.8702665 with explore rate: 0.0180409800921 loss: 3573292.8 , time: 130
